Event Title	Name of Company	City or Town of Origin	State of Origin	Country of Origin	Venue	Genre	Categories	Show Rating	Running Time	Audience Interaction	Nudity	Foul Language	Strobe Effects	Ticket Price	Short Blurb (175 Characters)	Long Blurb (450 Characters)	Facebook	Instagram	Twitter	Website	Your 2019 Orlando Fringe Schedule	Discount Tickets	One Time $6 Show Ticket	Event Input	Performances Input	Event Number	Event Landing
Orlando Fringe's: Flashlight Cabaret	Orlando Fringe	Orlando	FL	UNITED STATES	Orange	Variety		18 and up	90	YES	YES	YES	No	10	A variety show like no other, where Artists perform previously unseen songs and skits, lit only by audience-held flashlights! Free for Artists and Volunteers, and we bring the beer inside.	A variety show like no other, where Artists perform previously unseen songs and skits, lit only by audience-held flashlights! Free for Artists and Volunteers, and we bring the beer inside.					Wednesday, May 22nd 11:59 PM			Tempestt 3/12		343	http://orlandofringe.showare.com/eventperformances.asp?evt=343
Orlando Fringe Event: One Man Lord of The Rings	Orlando Fringe	Orlando	FL	UNITED STATES	Gold	Comedy	Parody, Solo-Show	All Ages	75	NO	NO	NO	No	12	One ring to rule them all. One man to do it all. One night only to see it! Charles Ross (One Man Star Wars Trilogy) recreates the enchanting world of Middle-Earth with nothing more than elbow pads and his outrageous imagination.	One ring to rule them all. One man to do it all. One night only to see it! Award-winning Canadian actor Charles Ross(One Man Star Wars Trilogy, One Man Stranger Things) recreates the enchanting world of Middle-Earth with nothing more than elbow pads and his outrageous imagination. Be prepared to journey through the trilogy: The Fellowship of the Ring, The Two Towers, and Return of the Jedi in 3,600 seconds of unbelievable kinetic entertainment! Booming special effects, riveting stage fights, and harrowing rescues. The performer does it all in this epic one man show. Directed by TJ Dawe.			charlie__ross	www.onemanstarwars.com	Monday, May 27th 12:00 PM			Tempestt 3/12		344	http://orlandofringe.showare.com/eventperformances.asp?evt=344
Orlando Fringe's: National and International Artists Teaser Show and Ribbon Cutting Ceremony	Orlando Fringe	Orlando	FL	UNITED STATES	Orange	Variety		13 and up	120	YES	NO	YES	no	15	Official ribbon cutting ceremony followed by 2-minute live teaser performances for touring shows representing 5 countries and over 20 States. Hosted by Fringe legend Chase Padgett and Festival Producer Mike Marinaccio.	Join us as we celebrate the official opening of the Festival at our ribon cutting ceremony followed by 2-minute live teaser performances for touring shows representing 5 countries and over 20 States. Hosted by Fringe legend Chase Padgett and Festival Producer Mike Marinaccio. A must-see for planning your 2019 Orlando Fringe viewing schedule!					Tuesday, May 14th 7:00 PM			Becki 3/11		342	http://orlandofringe.showare.com/eventperformances.asp?evt=342
Orlando Fringe's: Tonight at Midnight	Orlando Fringe	Orlando	FL	UNITED STATES	Orange	Variety	Talk-Show, Comedy, Dance Party	18 and up	90	NO	YES	YES	No	10	The last show before the last call. Comedian Rauce Padgett hosts this late night talk show highlighting Fringe Buzz, guest interviews, sketches,  and musical acts. Free for Artists and Volunteers, and we bring the beer inside.	The last show before the last call. Comedian Rauce Padgett hosts this late night talk show highlighting Fringe Buzz, guest interviews, sketches,  and musical acts. Free for Artists and Volunteers, and we bring the beer inside.					Thursday, May 16th 11:59 PM Friday, May 17th 11:59 PM Saturday, May 18th 11:59 PM Thursday, May 23rd 11:59 PM Friday, May 24th 11:59 PM Saturday, May 25th 11:59 PM			Tempestt 3/12		345	http://orlandofringe.showare.com/eventperformances.asp?evt=345
2 For Tea	James & Jamesy	Sussex	Sussex	UNITED KINGDOM	Silver	Comedy	Comedy,Theatre,Family Friendly,Physical Theatre,Award Winning Production Company	All Ages	75	YES	NO	NO	Yes.	12	"OUTRAGEOUSLY FUNNY" ***** London Free Press. 20-time BEST-OF-FEST winners James & Jamesy sip tea. Charming, delightful and "complete and utter fun" ***** CBC.	England's 20-time BEST-OF-FEST and 3x London IMPRESARIO AWARD WINNERS James & Jamesy sip tea and lure you into their delightfully bizarre world brimming with innocence and endearing chemistry.  ***** "Outrageously funny." London Free Press ***** "Complete and utter fun." CBC ***** "Full-out belly laughs all the way through." Winnipeg Free Press ***** "Extraordinary. Amazing." Edmonton Journal ***** "Irresistible." Torontoist	jamesandjamesy	jamesandjamesy	jamesandjamesy	jamesandjamesy.com	Wednesday, May 15th 7:15 PM Friday, May 17th 7:45 PM Sunday, May 19th 12:00 PM Monday, May 20th 8:15 PM Thursday, May 23rd 8:15 PM Saturday, May 25th 7:00 PM Sunday, May 26th 12:00 PM			Tempestt 3/12		347	http://orlandofringe.showare.com/eventperformances.asp?evt=347
6 Guitars	Chase Padgett	Vancouver	WA	UNITED STATES	Silver	Music	Stand Up,Storytelling,Comedy,Theatre,One Person Show	13 and up	90	YES	NO	NO	NO	12	6 Guitars is a pitch perfect blend of music, comedy, and characters. 1 performer portrays 6 guitar players that each play Blues, Jazz, Rock, Classical, Folk & Country.	6 Guitars is a pitch perfect blend of music, comedy, and characters. 1 performer portrays 6 guitar players that each play Blues, Jazz, Rock, Classical, Folk & Country.  "It's just one guy - and one guitar - but it's amazing"  Orlando Sentinel  'There are exceedingly rare moments in the life of a reviewer when he or she feels content to bask in greatness. 6 Guitars is such a moment." Orlando Weekly  "6 Guitars is note perfect" Ottawa Citizen				www.sixguitars.com	Thursday, May 16th 9:30 PM Saturday, May 18th 8:30 PM Sunday, May 19th 3:45 PM Wednesday, May 22nd 8:15 PM Thursday, May 23rd 10:15 PM Sunday, May 26th 6:00 PM			Tempestt 3/12		348	http://orlandofringe.showare.com/eventperformances.asp?evt=348
6 of VIII: The Six Wives of Henry VIII	Opera Orlando	Orlando	FL	UNITED STATES	Silver	Musical	Play With Songs,Costume Period,Feminist,Tragedy Tragi-Comedy,Debut	13 and up	45	NO	NO	NO	No	12	Divorced, beheaded, died, divorced, beheaded, survived. The six ill-fated queens of the second Tudor king share their experiences of matrimony and acrimony in song and poetry.	Divorced, beheaded, died, divorced, beheaded, survived. Revel in the bliss and misery of marriage as the six ill-fated queens of the second Tudor king share their experiences of matrimony and acrimony in song, poetry, and spoken word. Featuring members of local vocal ensemble The Helena Collective as the queens, take a journey with each of Henry the VIII's wives with music selections by Libby Larson, Hildegard von Bingen, Praetorius, and more.	OperaOrlando	operaorlando	OperaOrlando	www.operaorlando.org	Thursday, May 16th 6:00 PM Saturday, May 18th 6:45 PM Tuesday, May 21st   9:45 PM Saturday, May 25th 9:00 PM Sunday, May 26th   2:00 PM			Tempestt 3/12		349	http://orlandofringe.showare.com/eventperformances.asp?evt=349
7-N-7 (An Old-Fashioned Musical Reimagined)	PhenomaJohn Productions	Atlanta	GA	UNITED STATES	Orange	Musical	Comedy,Theatre,Dance,Parody,Debut	13 and up	60	YES	NO	YES	No. Perhaps blinking lighting	12	This modern take on "7 Brides for 7 Brothers" has an original pop inspired score. A story of acceptance and transformation; it's 100% more feminist w/ 100% less Barn-Raising!	It's the age old story: Underdogs want Sorority Girls, Sorority Girls want Frat Bros, Frat Bros want Instagram Hotties, and Instagram Hotties are too expensive to cast. But when a Sadie Hawkins dance, a Mistaken text, and a Hurricane get thrown into the mix, you get a story of acceptance, redemption, and the next big musical of Orlando Fringe. It's "Seven Brides for Seven Brothers"� with 100% more feminist undertones and 100% less barn raising!	7n7musical	7n7musical			Thursday, May 16th 9:00 PM Saturday, May 18th 6:15 PM Sunday, May 19th 1:15 PM Wednesday, May 22nd 9:30 PM Thursday, May 23rd 10:00 PM Sunday, May 26th 2:45 PM	Fringe Artist,Fringe Volunteer,Student,Theme Park Employee	Thursday, May 16th 9:00 PM	Tempestt 3/12	Becki 3/14	350	http://orlandofringe.showare.com/eventperformances.asp?evt=350
90 Lies an Hour: Paul Strickland	Theatre Mobile	Covington	KY	UNITED STATES	Pink	Comedy	Storytelling,Comedy,One Person Show,Play With Songs,Award Winning Production Company	13 and up	60	NO	NO	NO	No	12	A new Hilarious Tall-Tale Comedy from Paul Strickland, "Mark Twain of the Trailer Park." 10x Best of Fest Winner! Co-creator of 2018's BEST SHOW "13 Dead Dreams of 'Eugene.'"	10-time Best of Fest Winner Paul Strickland, "Mark Twain of the Trailer Park," returns with brand new Hilarious Tall-Tales and Songs!   "Master Storyteller"- Cincinnati Enquirer  "... the best tall-tales you can hear without actually having to risk a stabbing in the back of a boxcar." -Edmonton Vue Weekly   From the writer/performer/co-creator of 2018's BEST SHOW "13 Dead Dreams of 'Eugene.'"	theatremob		talkingpaul	ainttrue.com	Thursday, May 16th 7:15 PM Friday, May 17th 7:30 PM Saturday, May 18th 11:45 AM Sunday, May 19th 3:30 PM Wednesday, May 22nd 7:15 PM Saturday, May 25th 5:30 PM Sunday, May 26th 2:45 PM	None		Tempestt 3/12		351	http://orlandofringe.showare.com/eventperformances.asp?evt=351
The ADHD Project	Squirrel Suit Productions	Hamilton	Ontario	CANADA	Red	Theatre	Storytelling,Comedy,Theatre,Family Friendly,One Person Show	13 and up	60	NO	NO	NO	NO	12	A comedy about growing up a little bit "Special". Enter Carlyn's world of chaos and combat with her mind. "Hilarious" "Wacky" "Heartwarming" **** - Vue **** - Edmonton Journal	Award-winning storyteller Carlyn Rhamey shares the trials and triumphs of growing up a little bit “Special” and embracing what makes us different. Welcome to her world of chaos, creativity and combat with her mind.  **** "A great sense of comic timing"-� Edmonton Journal **** “Hilarious... with a very heartwarming message” Vue Weekly **** "A captivating story that shouldn't be missed!" Theatre In London **** "Sincere and heartfelt" On Stage Ottawa	SquirrelSuitProductions	TheADHDProject	SquirrelSuitT	www.squirrelsuit.ca	Wednesday, May 15th        8:30 PM Saturday, May 18th        9:00 PM Monday, May 20th        6:30 PM Wednesday, May 22nd        7:00 PM Thursday, May 23rd        10:30 PM Saturday, May 25th        6:30 PM Sunday, May 26th        7:45 PM			Tempestt 3/12		352	http://orlandofringe.showare.com/eventperformances.asp?evt=352
